,formula,composition,compositions,number_element
409,Ag3Os5,Ag3 Os5,Ag Os,5
410,Ag3P,Ag3 P1,Ag P,4
411,Ag3P11,Ag3 P11,Ag P,4
412,Ag3P2,Ag3 P2,Ag P,4
413,Ag3P4,Ag3 P4,Ag P,4
414,Ag3P5,Ag3 P5,Ag P,4
415,Ag3Pb,Ag3 Pb1,Ag Pb,5
416,Ag3Pb2,Ag3 Pb2,Ag Pb,5
417,Ag3Pb4,Ag3 Pb4,Ag Pb,5
418,Ag3Pb5,Ag3 Pb5,Ag Pb,5
419,Ag3Pd,Ag3 Pd1,Ag Pd,5
420,Ag3Pd2,Ag3 Pd2,Ag Pd,5
421,Ag3Pd4,Ag3 Pd4,Ag Pd,5
422,Ag3Pd5,Ag3 Pd5,Ag Pd,5
423,Ag3Pt,Ag3 Pt1,Ag Pt,5
424,Ag3Pt2,Ag3 Pt2,Ag Pt,5
425,Ag3Pt4,Ag3 Pt4,Ag Pt,5
426,Ag3Pt5,Ag3 Pt5,Ag Pt,5
427,Ag3Pt7,Ag3 Pt7,Ag Pt,5
428,Ag3Rh,Ag3 Rh1,Ag Rh,5
429,Ag3Rh2,Ag3 Rh2,Ag Rh,5
430,Ag3Rh4,Ag3 Rh4,Ag Rh,5
431,Ag3Rh5,Ag3 Rh5,Ag Rh,5
432,Ag3Ru,Ag3 Ru1,Ag Ru,5
433,Ag3Ru2,Ag3 Ru2,Ag Ru,5
434,Ag3Ru4,Ag3 Ru4,Ag Ru,5
435,Ag3Ru5,Ag3 Ru5,Ag Ru,5
436,Ag3S,Ag3 S1,Ag S,4
437,Ag3Sb,Ag3 Sb1,Ag Sb,5
438,Ag3Sb2,Ag3 Sb2,Ag Sb,5
439,Ag3Sb4,Ag3 Sb4,Ag Sb,5
440,Ag3Sb5,Ag3 Sb5,Ag Sb,5
441,Ag3Se,Ag3 Se1,Ag Se,5
442,Ag3Se2,Ag3 Se2,Ag Se,5
443,Ag3Se4,Ag3 Se4,Ag Se,5
444,Ag3Se5,Ag3 Se5,Ag Se,5
445,Ag3Sn,Ag3 Sn1,Ag Sn,5
446,Ag3Sn2,Ag3 Sn2,Ag Sn,5
447,Ag3Sn4,Ag3 Sn4,Ag Sn,5
448,Ag3Sn5,Ag3 Sn5,Ag Sn,5
449,Ag3Te,Ag3 Te1,Ag Te,5
450,Ag3Te2,Ag3 Te2,Ag Te,5
451,Ag3Te4,Ag3 Te4,Ag Te,5
452,Ag3Te5,Ag3 Te5,Ag Te,5
453,Ag3W,Ag3 W1,Ag W,4
454,Ag3W2,Ag3 W2,Ag W,4
455,Ag3W4,Ag3 W4,Ag W,4
456,Ag3W5,Ag3 W5,Ag W,4
457,Ag44Pd,Ag44 Pd1,Ag Pd,5
458,Ag44Pt,Ag44 Pt1,Ag Pt,5
459,Ag44Rh,Ag44 Rh1,Ag Rh,5
460,Ag45C,Ag45 C1,Ag C,4
461,Ag45H,Ag45 H1,Ag H,4
462,Ag45O,Ag45 O1,Ag O,4
463,Ag48C,Ag48 C1,Ag C,4
464,Ag48H,Ag48 H1,Ag H,4
465,Ag48O,Ag48 O1,Ag O,4
466,Ag4As,Ag4 As1,Ag As,5
467,Ag4As3,Ag4 As3,Ag As,5
468,Ag4As5,Ag4 As5,Ag As,5
469,Ag4Au,Ag4 Au1,Ag Au,5
470,Ag4Au3,Ag4 Au3,Ag Au,5
471,Ag4Au5,Ag4 Au5,Ag Au,5
472,Ag4B,Ag4 B1,Ag B,4
473,Ag4B3,Ag4 B3,Ag B,4
474,Ag4B5,Ag4 B5,Ag B,4
475,Ag4Bi,Ag4 Bi1,Ag Bi,5
476,Ag4Bi3,Ag4 Bi3,Ag Bi,5
477,Ag4Bi5,Ag4 Bi5,Ag Bi,5
478,Ag4Br,Ag4 Br1,Ag Br,5
479,Ag4Br3,Ag4 Br3,Ag Br,5
480,Ag4Br5,Ag4 Br5,Ag Br,5
481,Ag4C,Ag4 C1,Ag C,4
482,Ag4C3,Ag4 C3,Ag C,4
483,Ag4C5,Ag4 C5,Ag C,4
484,Ag4Cl,Ag4 Cl1,Ag Cl,5
485,Ag4Cl3,Ag4 Cl3,Ag Cl,5
486,Ag4Ge,Ag4 Ge1,Ag Ge,5
487,Ag4Ge3,Ag4 Ge3,Ag Ge,5
488,Ag4Ge5,Ag4 Ge5,Ag Ge,5
489,Ag4Hg,Ag4 Hg1,Ag Hg,5
490,Ag4Hg3,Ag4 Hg3,Ag Hg,5
491,Ag4Hg5,Ag4 Hg5,Ag Hg,5
492,Ag4Ir,Ag4 Ir1,Ag Ir,5
493,Ag4Ir3,Ag4 Ir3,Ag Ir,5
494,Ag4Ir5,Ag4 Ir5,Ag Ir,5
495,Ag4Mo,Ag4 Mo1,Ag Mo,5
496,Ag4Mo3,Ag4 Mo3,Ag Mo,5
497,Ag4Mo5,Ag4 Mo5,Ag Mo,5
498,Ag4Os,Ag4 Os1,Ag Os,5
499,Ag4Os3,Ag4 Os3,Ag Os,5
500,Ag4Os5,Ag4 Os5,Ag Os,5
501,Ag4P,Ag4 P1,Ag P,4
502,Ag4P3,Ag4 P3,Ag P,4
503,Ag4P5,Ag4 P5,Ag P,4
504,Ag4Pb,Ag4 Pb1,Ag Pb,5
505,Ag4Pb3,Ag4 Pb3,Ag Pb,5
506,Ag4Pb5,Ag4 Pb5,Ag Pb,5
507,Ag4Pd,Ag4 Pd1,Ag Pd,5
508,Ag4Pd3,Ag4 Pd3,Ag Pd,5
509,Ag4Pd5,Ag4 Pd5,Ag Pd,5
510,Ag4Pt,Ag4 Pt1,Ag Pt,5
511,Ag4Pt3,Ag4 Pt3,Ag Pt,5
512,Ag4Pt5,Ag4 Pt5,Ag Pt,5
513,Ag4Pt7,Ag4 Pt7,Ag Pt,5
514,Ag4Rh,Ag4 Rh1,Ag Rh,5
515,Ag4Rh3,Ag4 Rh3,Ag Rh,5
516,Ag4Rh5,Ag4 Rh5,Ag Rh,5
517,Ag4Ru,Ag4 Ru1,Ag Ru,5
518,Ag4Ru3,Ag4 Ru3,Ag Ru,5
519,Ag4Ru5,Ag4 Ru5,Ag Ru,5
520,Ag4Sb,Ag4 Sb1,Ag Sb,5
521,Ag4Sb3,Ag4 Sb3,Ag Sb,5
522,Ag4Sb5,Ag4 Sb5,Ag Sb,5
